HOUSEHOLD_ID,DRIVER_ID,POLICY_ID,CLAIM_ID,INCIDENT_CAUSE,DESCRIPTION,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV,PRIMARY_DRIVER_ID,START_DATE,EXPIRY_DATE,MODEL_YEAR,MAKE,MODEL,PLATE,COLOR,INITIAL_ODOMETER,LOW_MILEAGE_USE,FIRST_NAME,LAST_NAME,GENDER,BIRTHDATE,SSN,DRIVERS_LICENSE_ID,DRIVERS_LICENSE_EXPIRY,DRIVERS_LICENSE_STATE,DATE_AT_CURRENT_ADDRESS,CONTACT_NUMBER,EMAIL,COMMUTE_DISCOUNT,WORK_ADDR_NUMB,WORK_ADDR_STREET_NAME,WORK_ADDR_UNIT_DESIGNATION,WORK_ADDR_UNIT_NUMBER,WORK_ADDR_CITY,WORK_ADDR_STATE,WORK_ADDR_ZIPCODE,WORK_ADDR_LATITUDE,WORK_ADDR_LONGITUDE,WORK_ADDR_PBKEY,ADDR_STREET_NUMBER,ADDR_STREET_NAME,ADDR_UNIT_DESIGNATION,ADDR_UNIT_NUMBER,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,PBKEY
CH42335,XZJ2837,NW5567882,A-2017-UU907,3,,1,157654.9,2017-04-25 00:00:00.0,2017-04-28 00:00:00.0,1,1,41.90210313,-87.75562353,35765.00,1,XZJ2837,2016-09-19,2017-09-19,2010,Nissan,Sentra,MJCW106,Silver,144972.0,0,Will,Dorau,M,1973-12-25,457-20-9007,X151-5971-1594,2018-08-19,IL,1999-04-16,634-603-0960 ,wdorau@freshmaail.com,0,3411,N ASHLAND AVE,,,CHICAGO,IL,60657,41.943749,-87.668369,P00007UWRNHZ,2153,MALLARD LN,,,HANOVER PARK,IL,60133,41.943656,-88.158922,-88.158922  
IH49805,VVR6423,UR4864804,A-2018-FI481,3,,3,226154.5,2018-08-26 00:00:00.0,2018-08-31 00:00:00.0,0,1,41.96356191,-87.73139688,1909.00,0,VVR6423,2017-06-14,2018-06-14,2008,Dodge,Ram,LKUD688,White,212580.0,0,Tammie,Mostrom,F,1945-09-14,718-38-8987,K702-7678-1851,2018-01-27,IL,2011-06-09,827-916-0381 ,tmostrom@yahoot.com,0,1048,N ASHLAND AVE,,,CHICAGO,IL,60622,41.901134,-87.66778,P00007UWEN7G,13886,W EMMA LN,,,METTAWA,IL,60045,42.249667,-87.903629,-87.903629  
AF28736,UQM2512,RR8595908,A-2016-ZG694,1,,1,83968.6,2016-01-07 00:00:00.0,2016-01-11 00:00:00.0,0,2,41.73660156,-87.6049681,25730.00,1,UQM2512,2015-08-24,2016-08-23,2009,Chevrolet,Equinox,OBQU415,White,77994.0,1,Esther,Sebranek,F,1988-05-16,076-62-7083,V549-5272-3181,2019-11-19,IL,2005-05-21,723-552-0479 ,esebranek@zohoo.com,0,176,N BRANDON DR,,,GLENDALE HEIGHTS,IL,60139,41.930979,-88.082189,P00007UTGSGT,8726,S DORCHESTER AVE,,,CHICAGO,IL,60619,41.736025,-87.590889,-87.590889  
EF53594,YDT5591,RN5640634,A-2016-NG783,1,,1,309570.3,2016-12-11 00:00:00.0,2016-12-18 00:00:00.0,0,1,41.90992525,-87.73155722,40880.00,1,YDT5591,2015-07-25,2016-07-24,2002,Chevrolet,Equinox,EVOQ882,White,296352.0,0,Donny,Nickless,M,1974-01-18,571-32-3662,Z350-2956-6553,2019-05-16,IL,2000-03-11,741-637-0631 ,dnickless@life.com,0,4820,W 25TH ST,,,CICERO,IL,60804,41.846048,-87.74515,P00007UWRZX0,543,N HARDING AVE,,,CHICAGO,IL,60624,41.891161,-87.724383,-87.724383  
LD32277,ONM5465,YY1229530,A-2017-ZO863,3,,3,136633.9,2017-06-06 00:00:00.0,2017-06-08 00:00:00.0,0,1,41.9237502,-87.78988086,2130.00,0,JZZ5688,2016-01-08,2017-01-07,2010,Honda,CR-V,OGDM932,White,134244.0,0,Floyd,Liggan,M,1950-05-01,315-84-4443,E912-8544-3880,2020-07-06,IL,2012-07-04,735-427-0152 ,fliggan@mooosend.com,0,2323,N CLIFTON AVE,,,CHICAGO,IL,60614,41.924384,-87.65684,P00007UWO5N5,6952,S HALSTED ST,,,CHICAGO,IL,60621,41.767273,-87.644831,-87.644831  
DM94074,GBU7751,XP3473763,A-2018-XB432,1,,3,326514.1,2018-03-06 00:00:00.0,2018-03-19 00:00:00.0,0,1,41.90925707,-87.78505659,1970.00,0,BUK6977,2017-01-15,2018-01-15,2004,Ford,F-150,REJM073,White,316848.0,0,Eula,Warszawski,F,1996-07-11,471-29-3745,I654-9978-4497,2021-09-26,IL,2001-07-15,258-917-0229 ,ewarszawski@husshmail.com,0,8726,W SUMMERDALE AVE,,,CHICAGO,IL,60656,41.976265,-87.845114,P00007UWGCBU,10607,SOUTHWEST HWY,APT,1B,WORTH,IL,60482,41.698491,-87.795412,-87.795412  
MD38210,CBR4335,US5444269,A-2017-XP758,2,,3,58477.9,2017-08-13 00:00:00.0,2017-08-18 00:00:00.0,0,1,41.92839511,-87.7964676,2290.00,0,CBR4335,2016-07-08,2017-07-08,2012,Chevrolet,Impala,CMJQ294,Silver,53232.0,1,Griselda,Loner,F,1994-01-17,831-08-6699,U505-6792-6383,2019-05-10,IL,2004-04-08,237-542-0511 ,gloner@inboux.com,0,165,N FIELD BLVD,APT,F27,CHICAGO,IL,60601,41.884987,-87.616671,P00007UWMP0L,1745,BUTTERFIELD LN,,,FLOSSMOOR,IL,60422,41.529887,-87.667547,-87.667547  
GL77908,HZF3884,XR1994270,A-2017-QY946,1,,3,176476.9,2017-02-10 00:00:00.0,2017-02-18 00:00:00.0,0,1,41.88571554,-87.72837561,2990.00,0,QAX1481,2016-08-11,2017-08-11,2010,Kia,Sportage,ZXUR990,Med Dk Blue,165900.0,0,Octavio,Schneweis,M,1948-05-28,533-58-6360,U229-6740-4370,2019-04-26,IL,1999-02-02,358-965-0435 ,oschneweis@inboux.com,0,5645,N GLENWOOD AVE,,,CHICAGO,IL,60660,41.984938,-87.664576,P00007UWGJE3,940,S LINDEN AVE,,,ELMHURST,IL,60126,41.870344,-87.927946,-87.927946  
BA26199,CSE9523,VP6368585,A-2018-LB818,3,,3,277812.7,2018-02-16 00:00:00.0,2018-02-24 00:00:00.0,0,1,41.89505399,-87.74566176,1170.00,0,CSE9523,2017-10-13,2018-10-13,2006,Nissan,Sentra,MUWC424,Black,268104.0,0,Hiram,Tobal,M,2001-06-06,177-05-4386,C119-6069-3125,2021-04-15,IL,2005-03-07,342-300-0794 ,htobal@zohoo.com,0,5126,NEW HAVEN CT,,,PLAINFIELD,IL,60586,41.547886,-88.206594,P00007UU9VWF,45,SWIFT LN,,,NAPERVILLE,IL,60565,41.745043,-88.132447,-88.132447  
EA38976,HFX7408,YP9758006,A-2016-QD338,5,,3,190541.3,2016-12-28 00:00:00.0,2017-01-11 00:00:00.0,0,1,41.89197561,-87.61458027,2090.00,0,HFX7408,2015-06-23,2016-06-22,2008,Kia,Sportage,DSBF062,Med. Dark Gray,178656.0,0,Daphne,Combis,F,1996-05-13,663-04-9631,H990-2061-2569,2019-08-07,IL,2012-03-04,729-508-0389 ,dcombis@mooosend.com,0,8755,S THROOP ST,,,CHICAGO,IL,60620,41.734304,-87.655375,P00007UUIRM0,2930,N SHERIDAN RD,APT,808,CHICAGO,IL,60657,41.935238,-87.639715,-87.639715  
GB64343,PXE3728,XY6800348,A-2017-CK710,1,,3,290975.1,2017-08-12 00:00:00.0,2017-08-25 00:00:00.0,0,1,41.91122338,-87.63865603,2130.00,0,PXE3728,2016-04-14,2017-04-14,2005,Kia,Optima,YSOB682,Med. Dark Gray,280368.0,0,Lea,Vandriessche,F,1984-03-15,597-29-1657,E935-8533-8050,2019-07-02,IL,2017-05-03,751-341-0972 ,lvandriessche@outloop.com,0,4956,W RACE AVE,,,CHICAGO,IL,60644,41.8907,-87.750374,P00007UWQWUY,5823,N RAVENSWOOD AVE,APT,114,CHICAGO,IL,60660,41.987778,-87.674221,-87.674221  
JG99629,OKH5337,ZK6994471,A-2018-WF114,3,,1,159873.2,2018-07-30 00:00:00.0,2018-07-30 00:00:00.0,1,5,41.73583545,-87.66786637,33040.00,1,OKH5337,2017-02-22,2018-02-22,2010,Hyundai,Sonata,XRIG314,Med Dk Blue,157344.0,0,Chuck,Matovich,M,1944-08-17,859-29-4381,B243-8755-9939,2018-03-29,IL,2008-07-06,235-819-0662 ,cmatovich@mmail.com,0,1300,INVERRARY LN,,,PALATINE,IL,60074,42.141338,-88.01146,P00007UT7L9C,519,RAE AVE,,,LAKE VILLA,IL,60046,42.425972,-88.095956,-88.095956  
FH81231,RQZ1566,ZR4462879,A-2018-VT470,1,,3,391866.9,2018-02-22 00:00:00.0,2018-02-26 00:00:00.0,0,1,41.73416431,-87.55121062,2400.00,0,FSC3949,2017-01-10,2018-01-10,1998,Dodge,Durango,WGOW284,Med Dark Green,385536.0,0,Charley,Royland,M,1976-03-10,402-37-9515,A797-1886-8312,2018-04-01,IL,2012-05-15,335-799-0958 ,croyland@lightemail.com,0,225,POSTON RD,,,WILLOW SPRINGS,IL,60480,41.743216,-87.861541,P00007UU0ME7,1573,SWALLOW ST,,,NAPERVILLE,IL,60565,41.740917,-88.12917,-88.12917   
KI98597,VRX5780,ZW4263453,A-2017-SA279,3,,1,384000.6,2017-02-06 00:00:00.0,2017-02-06 00:00:00.0,0,3,41.79185207,-87.8013778,21330.00,1,VRX5780,2016-06-04,2017-06-04,2000,Toyota,Corolla,UDHZ478,White,370668.0,0,Tasha,Rew,F,1967-11-25,024-31-2998,P682-5118-5638,2019-07-13,IL,2007-01-14,238-856-0215 ,trew@mmail.com,0,1908,W ROOSEVELT RD,,,CHICAGO,IL,60608,41.867177,-87.674061,P00007UWN7RE,6603,NATASHA CT,,,COUNTRYSIDE,IL,60525,41.768525,-87.886768,-87.886768  
CG61685,TIA1702,UW8176531,A-2018-EJ368,2,,3,251644.8,2018-07-10 00:00:00.0,2018-07-18 00:00:00.0,1,1,42.00593081,-87.68066049,3427.00,0,TIA1702,2017-04-10,2018-04-10,2007,Nissan,Rogue,QSSR643,Med Dk Blue,237900.0,0,Casey,Glauber,F,1964-03-12,060-11-5593,N905-1410-1235,2020-04-25,IL,2009-09-25,729-792-0612 ,cglauber@beemail.com,0,14030,PARK AVE,,,DOLTON,IL,60419,41.639653,-87.610394,P00007UTRG5Y,1400,S MICHIGAN AVE,APT,812,CHICAGO,IL,60605,41.863785,-87.624553,-87.624553  
AB12181,OBD8151,RW8652538,A-2017-CT587,2,,1,300279.3,2017-07-29 00:00:00.0,2017-08-10 00:00:00.0,0,1,41.69340052,-87.61232172,35385.50,1,OBD8151,2016-11-25,2017-11-25,2004,Chevrolet,Camaro,EBPS972,Silver,294552.0,0,Marguerite,Derfus,F,1965-04-06,518-80-3637,B797-7778-3019,2019-04-13,IL,1999-07-04,736-908-0587 ,mderfus@zohoo.com,0,17048,OAK PARK AVE,,,TINLEY PARK,IL,60477,41.58114,-87.785054,P00007UU0CEX,5945,S KOLIN AVE,,,CHICAGO,IL,60629,41.784505,-87.731125,-87.731125  
BJ63668,WDC2749,PQ3189850,A-2017-CU817,2,,3,73419.5,2017-12-30 00:00:00.0,2018-01-03 00:00:00.0,0,1,41.84014456,-87.66133946,1570.00,0,OZP7842,2016-04-06,2017-04-06,2010,Honda,HR-V,WEIJ389,Black,68880.0,1,Lauren,Bennerman,M,1949-11-29,374-53-5198,B838-2736-1084,2020-07-15,IL,2002-05-21,739-454-0796 ,lbennerman@fasstmail.com,0,5425,W MONROE ST,,,CHICAGO,IL,60644,41.879049,-87.760607,P00007UUT2SR,2040,N DAMEN AVE,,,CHICAGO,IL,60647,41.918961,-87.677944,-87.677944  
MG83193,XJB5149,XN9015815,A-2018-LF972,2,,3,118923.9,2018-01-16 00:00:00.0,2018-01-28 00:00:00.0,0,1,41.97517487,-87.7683442,2370.00,0,XJB5149,2017-11-21,2018-11-21,2007,Jeep,Renegade,KGAI436,Med Dk Blue,107052.0,1,Lavonne,Seachrist,F,1977-11-26,026-12-7247,L783-7567-9623,2018-07-31,IL,2012-07-16,241-352-0754 ,lseachrist@beemail.com,0,1258,S KEELER AVE,,,CHICAGO,IL,60623,41.864394,-87.730357,P00007UWP99L,1915,BROOKSIDE LN,,,HOFFMAN ESTATES,IL,60169,42.052519,-88.126611,-88.126611  
IJ01709,CRP8660,SV1659058,A-2017-ML677,1,,1,182681.3,2017-04-25 00:00:00.0,2017-05-07 00:00:00.0,1,1,41.89017255,-87.64999164,26250.00,1,CRP8660,2016-07-23,2017-07-23,2009,Chevrolet,Equinox,KZHI056,Light Brown,177168.0,0,Milford,Pudelek,M,1990-05-06,757-79-0592,L593-9477-8291,2019-09-28,IL,2004-11-26,237-895-0114 ,mpudelek@husshmail.com,0,10848,CANTERBURY DR,,,MOKENA,IL,60448,41.549266,-87.881936,P00007UTW7XJ,1518,NEWBERRY AVE,,,LA GRANGE PARK,IL,60526,41.840755,-87.863346,-87.863346  
BC94182,PEQ6155,UQ8163328,A-2018-WZ492,5,,1,160429.9,2018-02-10 00:00:00.0,2018-02-19 00:00:00.0,1,3,41.84065787,-87.72589914,25830.00,1,PEQ6155,2017-07-11,2018-07-11,2011,Nissan,Versa,FZEB641,Med Red,155820.0,0,Margret,Parizek,F,1977-10-28,422-73-7053,B318-8209-8689,2021-07-22,IL,2007-02-23,221-587-0845 ,mparizek@husshmail.com,0,310,DODGE AVE,,,EVANSTON,IL,60202,42.023566,-87.699873,P00007UWKMDQ,8541,LOTUS AVE,APT,716,SKOKIE,IL,60077,42.036175,-87.763821,-87.763821  
MF96553,PPI8400,OT0287150,A-2018-DI451,2,,1,165363.7,2018-01-23 00:00:00.0,2018-01-24 00:00:00.0,1,4,41.88470505,-87.66704583,23483.00,1,PPI8400,2017-04-23,2018-04-23,2010,Hyundai,Tucson,QWRA025,Med Dark Green,159408.0,0,Stephan,Kebe,M,1979-06-05,677-32-8448,T337-9043-4676,2021-11-26,IL,2006-09-18,840-596-0633 ,skebe@mooosend.com,0,807,CHURCH ST,APT,P36,EVANSTON,IL,60201,42.048703,-87.682625,P00007UWKJP1,1605,W BROADLAND LN,,,LAKE FOREST,IL,60045,42.235813,-87.886131,-87.886131  
BC90853,JOA9170,TW2172802,A-2016-RW653,5,,3,240639.2,2016-12-01 00:00:00.0,2016-12-10 00:00:00.0,1,1,41.73618257,-87.64365982,2173.50,0,JOA9170,2015-08-20,2016-08-19,2005,Chevrolet,Express,DMGO766,Black,228228.0,0,Barton,Aristil,M,1962-01-04,572-19-1787,K682-9535-3438,2020-09-09,IL,1999-05-16,232-384-0920 ,baristil@mooosend.com,0,5475,N MILWAUKEE AVE,,,CHICAGO,IL,60630,41.981311,-87.772401,P00007UUNF8N,423,BELOIT AVE,,,FOREST PARK,IL,60130,41.878605,-87.812311,-87.812311  
AK42388,KNQ4268,PP7360289,A-2017-KO812,4,,3,388591.3,2017-07-12 00:00:00.0,2017-07-12 00:00:00.0,1,1,41.76203035,-87.61169575,1750.00,0,KNQ4268,2016-04-17,2017-04-17,2001,Dodge,Ram,HCCT626,Light Brown,379584.0,0,Adolfo,Ludvigson,M,1980-12-17,577-65-7635,G412-3879-8304,2021-03-10,IL,2008-02-12,749-985-0925 ,aludvigson@mmail.com,0,8157,S WESTERN AVE,,,CHICAGO,IL,60620,41.744808,-87.682372,P00007UWOV1K,33,W ONTARIO ST,APT,16E,CHICAGO,IL,60654,41.892856,-87.62922,-87.62922   
HB16909,SRU2950,OY6516260,A-2016-CA740,1,,1,59498.7,2016-01-06 00:00:00.0,2016-01-08 00:00:00.0,1,1,42.00642207,-87.67812041,20310.00,1,SRU2950,2015-04-18,2016-04-17,2013,Kia,Optima,VPIX893,White,57024.0,0,Pablo,Yuson,M,1992-11-14,674-71-5901,E815-9580-7246,2021-01-22,IL,2006-11-01,261-881-0294 ,pyuson@lightemail.com,0,14342,OAKLEY AVE,,,ORLAND PARK,IL,60462,41.628775,-87.871576,P00007UTYLF4,26235,S PEACH TREE LN,,,MONEE,IL,60449,41.413341,-87.744754,-87.744754  
FA97534,EHL9301,OS6708536,A-2018-PV577,1,,3,94043.6,2018-10-13 00:00:00.0,2018-10-25 00:00:00.0,0,1,41.81360176,-87.704338,2810.00,0,BIN1474,2017-10-01,2018-10-01,2014,Chevrolet,Colorado,RCGX530,Silver,81624.0,0,Kip,Martilla,M,1981-08-07,390-56-9983,O712-6388-9447,2019-10-07,IL,2001-03-12,634-984-0329 ,kmartilla@gmxx.com,0,5651,W IRVING PARK RD,,,CHICAGO,IL,60634,41.952844,-87.769028,P00007UUON6A,641,NOR OAKS CT,,,WEST CHICAGO,IL,60185,41.895214,-88.20205,-88.20205   
CF57572,CJY6373,QV4842191,A-2017-JI571,4,,3,69305.4,2017-07-19 00:00:00.0,2017-07-19 00:00:00.0,1,1,41.9969237,-87.80694519,2370.00,0,WKB8440,2016-03-06,2017-03-06,2014,Mazda,CX-5,CFHZ633,Light Brown,58644.0,0,Phil,Smets,M,1935-04-22,619-49-9034,V580-5596-9033,2021-10-25,IL,2000-01-07,723-499-0260 ,psmets@fasstmail.com,0,2422,FIELD AVE,,,BROADVIEW,IL,60155,41.846203,-87.861392,P00007UX6F26,344,MARSHALL AVE,,,BELLWOOD,IL,60104,41.885531,-87.880014,-87.880014  
ME37855,NCL2868,VT9807337,A-2018-CK215,5,,3,207764.4,2018-11-04 00:00:00.0,2018-11-13 00:00:00.0,0,1,41.95222752,-87.72742482,1320.00,0,NCL2868,2017-01-14,2018-01-14,2008,Chevrolet,Silverado,IABR557,Silver,206640.0,0,Edythe,Guikema,F,1936-02-18,310-38-2514,L127-2171-5221,2019-05-16,IL,2005-05-05,836-822-0418 ,eguikema@mmail.com,0,1400,E KENSINGTON RD,,,MOUNT PROSPECT,IL,60056,42.08155,-87.913034,P00007UWIUYE,2628,GREEN BAY RD,,,EVANSTON,IL,60201,42.065181,-87.699851,-87.699851  
LA79549,YWA1319,PU5439335,A-2017-FJ217,5,,1,302710.0,2017-05-31 00:00:00.0,2017-06-12 00:00:00.0,0,5,41.9768951,-87.69227967,30840.00,1,YWA1319,2016-04-04,2017-04-04,2001,Acura,MDX,CIEG457,Silver,301680.0,0,Debora,Kostic,F,1952-04-15,899-34-7907,C909-6208-3289,2019-04-28,IL,2012-11-27,729-351-0694 ,dkostic@husshmail.com,0,2608,W 97TH ST,,,EVERGREEN PK,IL,60805,41.717525,-87.687407,P00007UV0SWO,850,W BELDEN AVE,,,CHICAGO,IL,60614,41.923827,-87.650662,-87.650662  
II25056,CVI8835,OJ5466096,A-2017-YI133,4,,3,109080.0,2017-03-01 00:00:00.0,2017-03-13 00:00:00.0,0,3,41.88078079,-87.73023238,1230.50,0,CVI8835,2016-05-20,2017-05-20,2012,Dodge,Ram,DIPW431,Light Brown,101292.0,0,Elba,Nikolopoulos,F,1988-09-12,173-56-7742,L306-9916-4447,2018-12-08,IL,2015-08-19,235-784-0008 ,enikolopoulos@zohoo.com,0,15529,BLACKSTONE AVE,,,DOLTON,IL,60419,41.612678,-87.580256,P00007UWL0RM,16830,CRANE AVE,,,HAZEL CREST,IL,60429,41.583812,-87.671846,-87.671846  
CK11297,HIR9014,RR5447110,A-2018-QW132,4,,3,69640.2,2018-09-05 00:00:00.0,2018-09-11 00:00:00.0,0,1,41.89275285,-87.76070937,1020.00,0,HIR9014,2017-07-11,2018-07-11,2015,Toyota,Prius,ZQIT260,Silver,57780.0,0,Shawna,Herrador,F,1948-06-08,682-40-8477,T455-9174-4535,2021-11-10,IL,2014-07-18,723-821-0048 ,sherrador@life.com,0,3,E 146TH ST,,,RIVERDALE,IL,60827,41.630152,-87.621758,P00007UV0T9Q,300,N STATE ST,APT,4010,CHICAGO,IL,60654,41.888195,-87.628468,-87.628468  
KJ99727,MDE6706,RQ6230412,A-2018-AC526,2,,2,281332.9,2018-12-14 00:00:00.0,2018-12-19 00:00:00.0,1,1,41.9383457,-87.71230667,2470.00,0,MDE6706,2017-05-17,2018-05-17,2004,Honda,CR-V,FVGI062,Med. Dark Gray,276972.0,0,Francesca,Farrelly,F,1965-07-23,184-39-3490,O234-3528-1371,2020-10-18,IL,2010-04-21,232-902-0602 ,ffarrelly@freshmaail.com,0,889,W NORTH AVE,APT,D,VILLA PARK,IL,60181,41.904499,-87.99943,P00007UTL6L3,246,STAFFMARK LN,,,SCHAUMBURG,IL,60193,42.023116,-88.07595,-88.07595   
GF42714,NKZ8115,ST5381628,A-2016-RA233,1,,1,176864.1,2016-07-14 00:00:00.0,2016-07-25 00:00:00.0,0,2,41.90643022,-87.64830557,31020.00,1,NKZ8115,2015-08-23,2016-08-22,2008,Hyundai,Tucson,AIXJ529,White,169824.0,0,Eloisa,Carty,F,1948-08-09,619-16-2595,U562-2653-5208,2020-03-12,IL,2002-11-22,723-262-0522 ,ecarty@inboux.com,0,3950,S PRINCETON AVE,,,CHICAGO,IL,60609,41.823469,-87.63636,P00007UWNENJ,700,W 43RD ST,,,CHICAGO,IL,60609,41.816485,-87.643569,-87.643569  
